"gene","TCGA-13-1485-01","TCGA-25-1315-01","TCGA-09-0369-01","TCGA-24-1419-01","TCGA-29-1761-01","TCGA-24-1845-01","TCGA-24-2293-01","TCGA-29-A5NZ-01","TCGA-24-1426-01","TCGA-24-1551-01","TCGA-24-1923-01","TCGA-13-0899-01","TCGA-29-1769-01","TCGA-24-1474-01","TCGA-09-2048-01","TCGA-36-1580-01","TCGA-61-1900-01","TCGA-24-1562-01","TCGA-24-2297-01","TCGA-23-1113-01","TCGA-24-2290-01","TCGA-29-1695-01","TCGA-09-1674-01","TCGA-13-A5FT-01","TCGA-13-1512-01","TCGA-23-2078-01","TCGA-24-1924-01","TCGA-13-1496-01","TCGA-24-1928-01","TCGA-04-1514-01","TCGA-04-1348-01","TCGA-04-1530-01","TCGA-25-2042-01","TCGA-31-1950-01","TCGA-24-1413-01","TCGA-25-1625-01","TCGA-25-1630-01","TCGA-36-1574-01","TCGA-20-1684-01","TCGA-13-0886-01","TCGA-24-2288-01","TCGA-57-1994-01","TCGA-25-2392-01","TCGA-31-1959-01","TCGA-23-1022-01","TCGA-25-1633-01","TCGA-25-2396-01","TCGA-04-1517-01","TCGA-30-1714-01","TCGA-23-1026-01","TCGA-24-1431-01","TCGA-24-2261-01","TCGA-13-0800-01","TCGA-13-0765-01","TCGA-61-1998-01","TCGA-23-1029-01","TCGA-23-1030-01","TCGA-61-2003-01","TCGA-24-2038-01","TCGA-61-2016-01","TCGA-13-0885-01","TCGA-59-2351-01","TCGA-13-0890-01","TCGA-61-2000-01","TCGA-25-2404-01","TCGA-13-0768-01","TCGA-24-0970-01","TCGA-24-1424-01","TCGA-24-2023-01","TCGA-61-2111-01","TCGA-31-1946-01","TCGA-30-1857-01","TCGA-13-0720-01","TCGA-24-2033-01","TCGA-25-1627-01","TCGA-24-0966-01","TCGA-24-2026-01","TCGA-04-1331-01","TCGA-25-1628-01","TCGA-13-0795-01","TCGA-29-1763-01","TCGA-24-1470-01","TCGA-13-1410-01","TCGA-24-1553-01","TCGA-29-1710-01","TCGA-04-1648-01","TCGA-13-0884-01","TCGA-24-1567-01","TCGA-13-0906-01","TCGA-09-0367-01","TCGA-23-1028-01","TCGA-61-1740-01","TCGA-61-1737-01","TCGA-24-1930-01","TCGA-24-1604-01","TCGA-61-2094-01","TCGA-13-1409-01","TCGA-10-0928-01","TCGA-24-1469-01","TCGA-13-1405-01","TCGA-24-1464-01","TCGA-24-1104-01","TCGA-24-2024-01","TCGA-13-0924-01","TCGA-61-2101-01","TCGA-10-0927-01","TCGA-24-0968-01","TCGA-10-0936-01","TCGA-13-0726-01","TCGA-13-0908-01","TCGA-25-1329-01","TCGA-24-1555-01","TCGA-13-0916-01","TCGA-29-1781-01","TCGA-25-1312-01","TCGA-13-1482-01","TCGA-29-1770-01","TCGA-36-1576-01","TCGA-24-2036-01","TCGA-OY-A56P-01","TCGA-13-1511-01","TCGA-20-1687-01","TCGA-25-1316-01","TCGA-13-2060-01","TCGA-09-1668-01","TCGA-57-1586-01","TCGA-24-2271-01","TCGA-04-1350-01","TCGA-29-1699-01","TCGA-61-2109-01","TCGA-09-2051-01","TCGA-29-1766-01","TCGA-3P-A9WA-01","TCGA-25-2400-01","TCGA-24-1842-01","TCGA-04-1364-01","TCGA-23-2084-01","TCGA-24-1556-01","TCGA-61-1724-01","TCGA-13-0766-01","TCGA-59-2355-01","TCGA-24-1423-01","TCGA-13-0920-01","TCGA-29-1702-01","TCGA-23-1114-01","TCGA-23-1109-01","TCGA-24-1436-01","TCGA-29-1776-01","TCGA-13-0727-01","TCGA-61-2110-01","TCGA-24-1435-01","TCGA-09-1659-01","TCGA-24-1546-01","TCGA-13-1505-01","TCGA-25-1328-01","TCGA-29-1783-01","TCGA-13-1501-01","TCGA-61-1917-01","TCGA-57-1582-01","TCGA-24-1549-01","TCGA-10-0938-01","TCGA-30-1718-01","TCGA-24-2280-01","TCGA-24-1418-01","TCGA-24-1471-01","TCGA-30-1866-01","TCGA-24-1844-01","TCGA-61-1910-01","TCGA-24-1846-01","TCGA-20-0987-01","TCGA-13-0804-01","TCGA-57-1993-01","TCGA-24-0982-01","TCGA-36-1581-01","TCGA-24-1557-01","TCGA-20-0991-01","TCGA-30-1861-01","TCGA-29-2414-01","TCGA-09-1665-01","TCGA-25-1870-01","TCGA-09-1661-01","TCGA-13-1498-01","TCGA-20-1686-01","TCGA-24-2267-01","TCGA-04-1362-01","TCGA-61-1911-01","TCGA-30-1853-01","TCGA-24-2289-01","TCGA-25-1623-01","TCGA-29-1774-01","TCGA-29-1691-01","TCGA-24-1843-01","TCGA-29-1785-01","TCGA-25-1632-01","TCGA-24-1544-01","TCGA-24-1849-01","TCGA-23-1111-01","TCGA-10-0937-01","TCGA-20-1685-01","TCGA-36-1569-01","TCGA-04-1655-01","TCGA-59-A5PD-01","TCGA-25-1635-01","TCGA-30-1891-01","TCGA-04-1519-01","TCGA-13-0801-01","TCGA-04-1651-01","TCGA-23-1809-01","TCGA-24-1103-01","TCGA-13-0760-01","TCGA-13-0887-01","TCGA-24-2262-01","TCGA-20-1682-01","TCGA-25-2409-01","TCGA-24-1603-01","TCGA-23-1123-01","TCGA-61-2009-01","TCGA-09-1670-01","TCGA-61-2098-01","TCGA-23-1032-01","TCGA-24-0975-01","TCGA-13-1495-01","TCGA-31-1956-01","TCGA-24-2027-01","TCGA-24-1850-01","TCGA-61-2102-01","TCGA-25-1321-01","TCGA-25-1322-01","TCGA-13-0797-01","TCGA-29-1762-01","TCGA-59-2363-01","TCGA-24-1552-01","TCGA-13-1477-01","TCGA-25-1326-01","TCGA-10-0931-01","TCGA-29-1688-01","TCGA-24-1565-01","TCGA-25-1319-01","TCGA-20-1683-01","TCGA-36-1575-01","TCGA-09-2044-01","TCGA-09-1667-01","TCGA-61-1736-01","TCGA-59-2352-01","TCGA-61-2008-01","TCGA-10-0926-01","TCGA-61-2095-01","TCGA-09-2056-01","TCGA-13-1403-01","TCGA-61-1743-01","TCGA-13-0923-01","TCGA-13-1407-01","TCGA-24-1105-01","TCGA-13-1509-01","TCGA-13-0799-01","TCGA-10-0933-01","TCGA-24-1427-01","TCGA-59-2350-01","TCGA-13-0900-01","TCGA-61-2088-01","TCGA-25-1313-01","TCGA-VG-A8LO-01","TCGA-OY-A56Q-01","TCGA-13-1510-01","TCGA-25-1317-01","TCGA-13-1488-01","TCGA-61-2104-01","TCGA-24-1564-01","TCGA-13-0897-01","TCGA-29-1768-01","TCGA-24-1434-01","TCGA-24-1558-01","TCGA-29-1711-01","TCGA-13-1487-01","TCGA-04-1347-01","TCGA-29-1703-01","TCGA-04-1542-01","TCGA-30-1862-01","TCGA-29-1698-01","TCGA-23-1116-01","TCGA-29-1778-01","TCGA-09-1662-01","TCGA-23-1119-01","TCGA-29-1694-01","TCGA-04-1356-01","TCGA-24-1548-01","TCGA-04-1361-01","TCGA-13-1497-01","TCGA-57-1584-01","TCGA-24-1425-01","TCGA-04-1332-01","TCGA-57-1583-01","TCGA-23-1122-01","TCGA-13-0888-01","TCGA-24-2298-01","TCGA-25-1631-01","TCGA-24-1416-01","TCGA-13-0883-01","TCGA-61-1919-01","TCGA-25-2393-01","TCGA-25-2401-01","TCGA-13-0901-01","TCGA-13-0891-01","TCGA-25-2397-01","TCGA-24-2281-01","TCGA-25-2398-01","TCGA-23-1024-01","TCGA-13-1489-01","TCGA-30-1892-01","TCGA-30-1860-01","TCGA-13-0714-01","TCGA-24-1422-01","TCGA-61-1995-01","TCGA-25-1871-01","TCGA-04-1357-01","TCGA-24-1463-01","TCGA-24-1417-01","TCGA-5X-AA5U-01","TCGA-61-2002-01","TCGA-29-2425-01","TCGA-29-1701-01","TCGA-23-1118-01","TCGA-09-1673-01","TCGA-24-1428-01","TCGA-23-1120-01","TCGA-61-1914-01","TCGA-29-1705-01","TCGA-23-2077-01","TCGA-23-1110-01","TCGA-31-1944-01","TCGA-24-1545-01","TCGA-31-1951-01","TCGA-04-1343-01","TCGA-25-1626-01","TCGA-13-1492-01","TCGA-36-1571-01","TCGA-36-1568-01","TCGA-25-1634-01","TCGA-04-1337-01","TCGA-13-0919-01","TCGA-30-1855-01","TCGA-24-2035-01","TCGA-57-1585-01","TCGA-61-2113-01","TCGA-04-1338-01","TCGA-13-0762-01","TCGA-04-1536-01","TCGA-25-2399-01","TCGA-13-0911-01","TCGA-09-0366-01","TCGA-59-2348-01","TCGA-23-1027-01","TCGA-24-2019-01","TCGA-13-0893-01","TCGA-61-1741-01","TCGA-36-1577-01","TCGA-61-2012-01","TCGA-13-1411-01","TCGA-61-1725-01","TCGA-25-2391-01","TCGA-29-1777-01","TCGA-WR-A838-01","TCGA-61-1728-01","TCGA-23-1021-01","TCGA-25-1323-01","TCGA-13-1408-01","TCGA-25-1877-01","TCGA-23-1107-01","TCGA-29-1696-01","TCGA-29-2428-01","TCGA-29-1690-01","TCGA-25-1320-01","TCGA-29-2427-01","TCGA-10-0934-01","TCGA-09-2045-01","TCGA-36-1570-01","TCGA-24-1550-01","TCGA-25-1324-01","TCGA-13-0724-01","TCGA-13-1483-01","TCGA-29-1697-01","TCGA-25-1318-01","TCGA-09-2054-01","TCGA-09-0364-01","TCGA-13-1499-01","TCGA-25-1314-01","TCGA-24-1560-01","TCGA-29-1693-01","TCGA-13-0905-01","TCGA-36-1578-01","TCGA-13-1404-01","TCGA-31-1953-01","TCGA-09-1666-01","TCGA-13-1506-01","TCGA-24-2020-01","TCGA-23-2081-01","TCGA-09-2053-01","TCGA-61-1738-01","TCGA-04-1365-01","TCGA-61-1918-01","TCGA-61-2097-01","TCGA-61-2092-01","TCGA-09-1669-01","TCGA-59-2354-01","TCGA-24-1563-01","TCGA-04-1341-01","TCGA-24-0979-01","TCGA-24-1467-01","TCGA-24-1616-01","TCGA-13-0730-01","TCGA-61-1733-01","TCGA-13-1507-01","TCGA-24-1430-01","TCGA-61-1721-01","TCGA-29-1784-01","TCGA-13-0725-01","TCGA-13-1481-01","TCGA-61-1907-01","TCGA-24-2254-01"
"ACTB",12.7722,11.187,12.1496,11.8455,10.9484,10.4135,12.2688,12.2614,11.2717,12.0524,11.6188,11.8068,11.98,11.798,11.4999,11.7613,11.4798,11.4063,11.3089,11.7807,11.6319,12.0976,12.7738,10.5917,12.0892,11.6829,11.4991,12.6031,12.042,11.0052,12.3518,11.8997,12.1383,11.4866,11.3185,12.1645,11.4661,11.8942,11.2649,11.8848,11.3661,11.3152,11.3663,12.5469,9.7347,12.3806,11.0333,11.7829,10.89,11.6012,10.8403,11.6554,12.0746,12.1339,11.0391,10.9741,11.9825,12.5461,10.9097,11.9034,11.2684,10.8464,12.3683,11.3541,12.143,12.9519,11.8824,11.794,11.7268,11.6686,11.7814,13.1475,12.4707,11.5799,12.13,11.142,12.0817,11.5755,12.4962,11.9195,11.6929,12.47,12.3755,11.3208,11.8539,12.446,11.3904,10.8582,11.9995,11.3198,12.1262,11.022,11.9889,11.4799,11.7446,11.6206,11.2488,11.2066,12.0039,12.8706,11.1105,11.4225,11.6036,12.2521,11.6242,11.0841,12.1161,11.0918,12.8949,12.0254,12.067,11.3344,11.7911,11.1897,11.1027,12.5707,12.1767,12.3947,11.5304,11.4189,12.4738,11.7438,11.3221,12.1597,11.9425,10.62,12.277,11.5571,11.6309,11.3485,11.7936,11.5394,11.7508,11.3578,12.0265,12.2945,11.9905,11.0913,11.9338,11.3568,11.4647,11.7693,10.8803,11.5408,12.2839,11.5501,11.496,11.0089,10.9821,11.5212,11.8819,11.0829,11.6836,11.5261,11.9754,11.3296,12.6439,11.1066,11.7212,12.4822,11.5034,11.3071,11.9188,12.3952,11.2181,11.9546,10.6975,10.0293,11.0553,13.0449,12.5183,11.7866,11.5384,12.0972,11.8658,11.9219,12.2977,10.7531,11.1372,-9.9658,11.1608,11.7402,12.0083,11.2995,11.9166,12.0753,10.7849,11.9728,12.0107,10.9692,11.8983,11.4679,11.7684,11.4406,11.5206,11.8793,11.8318,11.4489,11.1751,11.62,12.599,11.9496,12.1312,11.9789,11.7463,11.2607,11.3352,12.0402,12.0715,11.6379,12.3095,11.5527,12.3067,11.6624,12.241,11.6733,11.0494,11.9179,11.7675,11.4761,12.4902,12.43,11.7241,11.036,11.5362,12.2269,11.2641,11.5433,11.8212,11.506,11.0859,11.8689,12.2471,12.2542,11.1375,11.511,11.4839,11.9208,11.5099,11.5822,11.4304,12.1393,11.0501,10.9396,11.0262,12.2272,11.8733,11.0894,11.9682,11.9542,11.7074,11.3231,11.9498,12.249,11.4554,11.92,12.5348,11.3702,12.2294,11.5701,11.3037,10.7526,11.5146,12.6328,11.2835,12.5205,11.5637,12.5205,11.4279,12.2273,12.3264,12.1794,11.751,12.2879,11.2036,11.9998,11.7827,11.1742,12.6415,12.1358,11.4091,11.312,12.0846,11.433,12.0268,11.3701,11.9974,11.733,12.0181,11.9758,11.3398,10.7859,12.033,11.5517,11.7517,11.1609,11.3982,11.777,11.6492,11.0962,11.8247,12.2722,11.5205,11.4229,11.5073,12.0929,11.8282,11.8922,11.6028,11.2155,10.6977,12.1278,11.6568,11.4992,11.5605,11.9191,12.151,12.0827,11.5415,10.6153,10.9418,12.3068,10.689,12.16,11.6387,11.0119,11.2298,11.6284,10.5131,11.2886,11.6843,11.9256,12.0733,12.8706,11.8443,10.9509,11.5902,11.0289,12.1842,12.9753,11.9887,12.2388,12.1441,12.1618,12.6982,11.636,11.8042,11.8013,13.2625,12.2484,11.8129,11.1329,11.4293,12.3155,11.3539,11.468,11.2948,12.2594,10.5532,11.2211,10.4981,10.9496,11.439,11.2557,11.3376,12.3854,10.1797,12.1653,10.7559,11.0341,11.7945,12.3212,11.4373,11.2682,10.7382,10.3667,11.7109,11.2804,11.941,12.2603,11.3296,11.7592,12.1319,11.2903,12.7389,10.9586,11.3563,10.8084,12.9496,11.6524,11.6375,12.4493,11.0623,11.3452,11.6823,11.5829,11.4349,10.8486,12.3379,11.7888,12.0958,10.8527,11.2037,11.6387,11.9129,11.836,11.8346,10.715,11.7482,11.1451,11.6167,11.59,11.3968,11.277,11.0819,12.1779,11.6692,10.8594,11.8126
"ACTN4",8.6656,7.2336,8.319,8.7522,6.4318,7.2292,8.5367,9.9425,8.5626,8.8478,8.7146,6.7534,7.1263,8.7144,7.3635,7.6535,8.3052,8.6566,8.7138,8.0021,8.5343,9.4216,9.2844,8.72,8.4065,8.7393,7.5212,8.0852,8.2761,9.1094,8.8805,7.9999,9.3738,9.2824,7.2101,8.9278,8.1972,8.4238,8.3078,7.871,9.1839,9.3813,9.2496,8.9056,7.9604,9.388,8.0394,8.928,7.9889,8.7288,7.9261,11.3543,9.6217,6.3036,8.2477,9.259,8.4337,9.8416,7.5003,8.1548,7.7601,8.7666,8.9563,6.8567,11.7502,9.1431,8.1851,9.4826,8.6072,8.9884,8.1048,8.835,7.8072,8.9003,9.6132,6.6085,8.5371,8.2207,9.1879,6.8626,9.5606,8.7583,9.152,8.373,8.1996,7.6421,7.7409,8.4028,8.3878,7.1099,8.1961,8.2255,8.5794,8.0087,8.2944,8.2738,7.7863,8.3486,9.0791,9.0011,7.4664,8.2035,8.3274,8.0205,8.2523,8.645,7.1509,7.323,7.2265,7.6691,10.3139,8.3019,9.3362,7.3965,10.1621,7.6465,8.7047,8.9445,8.7075,8.8848,9.075,8.2773,7.1356,7.0407,8.6282,7.4363,9.0743,6.7046,10.077,9.4284,8.53,7.4086,8.0943,7.2482,8.8277,7.3848,9.2877,8.477,9.1112,5.3071,7.3079,8.745,7.5207,8.4245,8.3527,7.5808,8.3173,8.4282,6.9017,7.8532,8.9181,6.4199,9.2004,8.4094,8.9678,7.5374,8.4324,7.7786,9.553,10.916,6.7904,8.6494,8.9984,9.5655,7.7173,8.1383,7.8259,8.6009,7.206,8.1547,6.7711,9.5147,7.1505,7.9856,9.423,7.0542,8.155,8.0262,8.0633,-9.9658,6.8916,7.7606,8.102,8.9433,8.871,7.8281,6.8875,9.9617,9.4154,8.2126,9.254,9.1158,8.6286,9.6031,10.1197,8.8337,8.7394,6.9691,8.782,8.3915,7.9153,9.1988,11.5949,7.1881,7.3235,7.5541,8.5176,9.0625,8.3799,8.2105,7.7024,8.2873,7.9487,8.6496,8.5806,7.3278,7.5211,7.6386,10.0111,8.1676,8.7696,8.4142,7.4011,9.7095,9.0447,8.8564,8.8441,9.3162,9.5004,8.5025,8.3377,12.7223,8.0945,8.9104,7.5799,7.604,7.1298,7.8192,7.2801,8.8211,7.6714,7.4651,9.4085,8.598,8.2505,7.6981,8.9915,6.2574,8.864,9.2111,7.4473,7.3592,8.7765,7.6798,7.7068,8.6159,8.8977,8.5066,8.1236,9.07,8.2999,8.9194,9.2901,7.0086,8.7148,7.6226,9.3042,8.0747,8.4099,7.2235,9.5072,10.887,8.7867,7.9045,7.2365,7.6045,7.5553,8.0856,8.9676,9.371,8.6805,8.3786,6.947,7.8528,7.5454,9.6769,8.3086,7.4346,7.1938,9.0931,9.099,6.685,8.8731,7.538,8.9203,9.0889,8.1222,9.1351,7.4854,7.0864,8.8353,6.5261,8.1442,7.6095,8.697,8.8632,8.4468,7.264,7.623,8.0601,7.1231,7.8222,8.9477,8.6957,7.1687,8.4601,9.3143,8.096,7.8102,7.8757,7.6767,7.8773,7.4499,9.2373,7.686,7.1441,9.1586,7.7484,8.8512,9.2568,8.5916,9.1724,7.8139,9.4139,9.3478,9.1168,10.0195,6.9568,8.5701,7.6905,8.0836,8.9281,9.4188,10.6078,7.4856,6.53,8.8486,9.8522,8.4986,7.8749,9.2248,8.1644,8.1567,9.1935,9.6431,7.918,8.6805,9.7917,6.388,8.3993,6.1477,8.4541,7.8912,6.6641,8.3189,8.3595,5.1863,8.1863,7.4102,8.6228,7.2381,8.0061,7.0145,7.3673,8.4633,8.4662,9.3588,9.4013,8.493,7.2461,9.0173,8.6533,8.2533,8.3122,7.8644,8.2615,7.9972,7.6055,8.5219,8.9948,6.7422,9.308,8.2947,9.0898,8.2264,9.3588,8.2298,7.7759,7.6942,8.0517,8.8493,8.0644,8.2166,10.058,8.843,6.6803,8.6163,7.7708,7.578,8.6428,9.5757,6.3906,8.4431,7.6226,7.7489,7.2843,8.3192,6.4464,8.2867
"CAPZB",8.1297,8.6488,8.8048,8.1658,6.9426,6.4055,8.3407,8.0122,6.9921,7.7788,7.4158,7.8833,8.1124,9.8575,6.2139,7.5001,7.8708,7.9825,8.0436,7.781,7.7357,8.5385,8.0632,6.8304,8.174,8.1752,7.4295,8.0317,8.4499,7.696,8.3751,7.4661,8.574,8.3602,7.1692,8.016,7.5952,8.5957,7.3761,7.0362,7.6649,8.3887,7.9319,8.2297,6.5612,8.7336,7.5336,7.5325,6.7029,7.4506,7.6717,8.1504,7.9795,7.5769,7.8225,7.2352,7.4222,8.3783,6.5749,8.2593,6.9923,7.1948,8.5661,8.0104,8.1651,8.5146,7.9925,7.7893,8.2009,8.0992,8.3439,7.9978,7.4233,7.7956,7.4071,6.2561,8.5608,7.0492,8.4741,7.2397,7.4835,8.0866,8.0243,7.7196,8.4676,7.9194,7.5755,7.5766,8.4604,7.484,6.8478,7.231,7.9761,7.6932,7.3784,7.8646,6.7197,7.3598,7.8174,8.6039,6.9358,7.9706,7.1415,7.9759,7.2913,7.0653,7.4914,7.2429,7.8483,7.627,8.2005,7.6935,7.4899,7.9949,7.9095,6.6963,8.0703,8.6554,7.8542,7.6721,8.335,7.6692,8.0726,8.1372,7.529,7.2533,7.2427,6.4673,8.0667,8.1284,8.5932,7.8162,8.2279,7.4472,8.1283,7.6977,8.0261,7.8619,8.446,6.2054,7.2045,7.405,7.6117,7.9221,7.8919,8.0611,8.1457,7.2695,6.7458,7.4645,7.811,7.1616,7.975,7.9944,7.8394,7.7495,7.9721,7.6724,8.695,8.3736,7.352,7.9717,8.3811,8.4258,7.5053,7.4765,7.7178,7.3547,6.9974,9.1832,7.6794,8.6251,7.299,8.2861,7.8231,7.2161,8.2628,7.1076,6.1148,-9.9658,6.5656,7.5282,7.689,7.7103,8.0115,7.8445,6.6611,9.0772,8.0891,6.8359,8.3754,8.116,7.2847,7.9882,7.8366,8.3989,7.4366,7.2053,7.6673,7.7343,7.5853,8.6175,8.7513,7.8053,6.7017,8.197,6.6334,8.4862,7.2858,7.1432,7.004,8.0361,7.5176,7.8338,8.3507,8.0546,7.6711,7.3536,8.0912,7.5684,7.6431,7.7394,7.7702,7.5427,8.0944,8.8225,7.9021,8.4233,8.3738,7.616,7.2276,8.4439,6.2862,8.4601,6.8459,7.3044,6.7686,8.081,7.891,7.7903,8.0841,7.8165,7.7975,7.528,7.7513,7.5815,7.8962,6.5303,7.9471,7.8349,7.6274,7.5329,7.8428,7.0225,7.1534,7.4028,8.1213,7.3779,8.1809,8.177,7.7856,7.8718,7.3602,6.8,7.0213,7.7361,7.7645,8.5846,8.2164,7.3982,8.8355,8.1285,8.3467,6.7789,7.0828,7.7154,7.0468,8.1715,8.3478,7.8338,7.4259,7.3033,7.7818,7.7051,7.3047,8.0128,7.2382,7.8912,7.2224,7.9419,7.352,7.4516,8.3936,6.7734,8.4801,6.9601,7.3983,7.5918,7.8793,7.7072,8.3646,7.3182,7.9518,8.2357,8.0294,8.0443,7.7778,6.9302,7.345,7.4585,6.5396,8.3551,8.3012,7.068,7.3038,7.9421,8.0707,8.0689,8.4902,7.6887,7.6906,7.2411,7.932,8.0098,7.1273,7.7866,8.3757,8.2951,7.8703,8.5319,8.0009,8.2142,8.0116,8.6946,7.9919,7.8757,7.9067,6.5404,8.2151,8.4031,8.0039,8.0396,8.6861,8.3981,7.6363,7.3094,7.532,8.1651,8.6039,8.8755,7.9056,8.0631,7.9232,7.9891,7.8185,8.1155,8.0659,8.4674,6.8469,8.0084,7.4034,7.4265,8.1254,6.3873,7.7404,7.9854,6.4787,7.5849,6.1849,7.5413,7.134,8.2233,6.9674,7.6227,7.8726,7.8768,9.3995,7.8428,7.3872,7.1824,8.1056,7.7655,8.4126,7.9297,8.094,7.413,8.3402,7.6611,7.4074,8.4862,6.8262,8.7053,7.0317,7.5259,7.1094,8.2902,7.8983,8.4469,8.1505,7.7126,7.8187,7.3624,7.2805,8.0325,7.8579,7.1479,7.8065,7.6505,7.2974,7.6974,8.5792,7.5844,8.3268,7.4958,7.3248,7.213,7.4351,7.2502,7.9042
